Released,Model,Family,Discontinued,Future release,Source link
"May 16, 1994",PowerBook Duo 280,PowerBook Duo,"November 14, 1994",false,https://en.wikipedia.org/wiki/PowerBook_Duo
"May 16, 1994",PowerBook Duo 280c,PowerBook Duo,"January 1, 1996",false,https://en.wikipedia.org/wiki/PowerBook_Duo
"May 16, 1994",PowerBook Duo Dock II,PowerBook Duo,"May 25, 1995",false,https://en.wikipedia.org/wiki/Duo_Dock
"July 18, 1994",PowerBook 150,PowerBook 100,"October 14, 1995",false,https://en.wikipedia.org/wiki/PowerBook_150
"July 18, 1994",Apple Multiple Scan 15 Display,Display,"September 14, 1996",false,https://en.wikipedia.org/wiki/Apple_Multiple_Scan_15_Display
"September 01, 1994",LaserWriter 16/600 PS,LaserWriter,[?],false,https://en.wikipedia.org/wiki/LaserWriter_16/600_PS
"April 03, 1995",Power Macintosh 5200 LC,Power Macintosh,"October 1, 1996",false,https://en.wikipedia.org/wiki/Power_Macintosh_5200_LC
"June 01, 1995",Color StyleWriter 2200,StyleWriter,[?],false,https://en.wikipedia.org/wiki/Color_StyleWriter_2200
"June 01, 1995",Color LaserWriter 12/600,LaserWriter,[?],false,https://en.wikipedia.org/wiki/Color_LaserWriter_12/600
"August 07, 1995",Power Macintosh 7500,Power Macintosh,"February 17, 1997",false,https://en.wikipedia.org/wiki/Power_Macintosh_7500
"August 07, 1995",Power Macintosh 8500,Power Macintosh,"February 17, 1997",false,https://en.wikipedia.org/wiki/Power_Macintosh_8500
"August 07, 1995",AppleVision 1710,Display,"August 5, 1997",false,https://en.wikipedia.org/wiki/AppleVision_1710
"August 07, 1995",Apple Multiple Scan 14 Display,Display,"September 14, 1996",false,https://en.wikipedia.org/wiki/Apple_Multiple_Scan_14_Display
"August 28, 1995",PowerBook 5300,PowerBook 500,"September 1, 1996",false,https://en.wikipedia.org/wiki/PowerBook_5300
"August 28, 1995",Power Macintosh 5300 LC,Power Macintosh,"March 1, 1997",false,https://en.wikipedia.org/wiki/Power_Macintosh_5300_LC
"August 28, 1995",PowerBook Duo 2300c,PowerBook Duo,"February 1, 1997",false,https://en.wikipedia.org/wiki/PowerBook_Duo_2300c
"January 11, 1996",Power Macintosh 8515,Power Macintosh,"April 1, 1996",false,https://en.wikipedia.org/wiki/Power_Macintosh_8500
